party,state,name,keycode,post_date,post_likes,post_comments,post_likes_zscore,post_comments_zscore,follower_date,7days_followers,post_likes_clean,likes_by_follower,likes_by_follower_zscore,comments_by_follower,comments_by_follower_zscore,7days_followers_zscore,engagement_rate,engagement_rate_zscore
Republican,Arizona,Kari Lake,DB88NN9O9Q_,2024-11-04,3326,72,-0.26369806338683,-0.21079973034161434,2024-11-11,835612,3326.0,0.0039803162233189564,-0.27267639908048186,8.616439208627928e-05,-0.21687870864078815,2.387196197220477,0.004066480615405236,-0.198767824061099
Republican,Arizona,Kari Lake,DB8oo-PJINy,2024-11-04,4036,60,-0.15117271912637714,-0.2710598739600264,2024-11-11,835612,4036.0,0.0048299928675031,-0.16181965048745922,7.18036600718994e-05,-0.2762664408681507,2.387196197220477,0.004901796527574999,-0.17687385459897617
Republican,Arizona,Kari Lake,DB8E9zOsD1P,2024-11-04,2844,52,-0.3400885083636444,-0.3112333030389678,2024-11-11,835612,2844.0,0.0034034934874080315,-0.34793407911123797,6.222983872897947e-05,-0.31585826235305914,2.387196197220477,0.003465723326137011,-0.2728396652780263
Republican,Arizona,Kari Lake,DB8EUh_t5Ei,2024-11-04,3182,37,-0.2865201050396542,-0.3865584825619829,2024-11-11,835612,3182.0,0.003807987439146398,-0.29516002133033425,4.427892371100463e-05,-0.39009292763726233,2.387196197220477,0.0038522663628574026,-0.28195361084494586
Republican,Arizona,Kari Lake,DB8EGA8vc8i,2024-11-04,4415,186,-0.0911063733873467,0.3616716340333004,2024-11-11,835612,4415.0,0.0052835526536239305,-0.10264400581597259,0.00022259134622288812,0.3473047475191562,2.387196197220477,0.005506143999846819,0.1133401858468882
Republican,Arizona,Kari Lake,DB72RrUghhK,2024-11-04,5815,106,0.13077458712622225,-0.04006265675611345,2024-11-11,835612,5815.0,0.006958971388634916,0.115946766057593,0.00012685313279368893,-0.04861346732992759,2.387196197220477,0.007085824521428605,0.03799936112319921
Republican,Arizona,Kari Lake,DB7X-wSycqh,2024-11-04,7999,151,0.4769088855273898,0.18591288181293184,2024-11-11,835612,7999.0,0.009572624615252054,0.45694837018035533,0.00018070587784761347,0.17409052852268203,2.387196197220477,0.009753330493099668,0.27765701374360247
Democratic,Pennsylvania,Bob Casey,DB9eXO_tcGT,2024-11-04,138,2,-0.28227268636328323,-0.5045891770655051,2024-11-11,21465,138.0,0.006429070580013976,-0.2858211199806029,9.317493594223154e-05,-0.5095371049305564,1.7203953701638781,0.006522245515956208,-0.4573726929722177
Democratic,Pennsylvania,Bob Casey,DB9Od7vi3z8,2024-11-04,6043,76,4.385409658339911,4.232524141952446,2024-11-11,21465,6043.0,0.2815280689494526,4.349916098459655,0.0035406475658047985,4.159613495871057,1.7203953701638781,0.2850687165152574,5.009275164156856
Democratic,Arizona,Ruben Gallego,DB9a9iByB7F,2024-11-04,204,5,-0.688151099495205,-0.6528539604079093,2024-11-11,15280,204.0,0.013350785340314137,-0.7670216487200574,0.0003272251308900524,-0.6668912935023819,1.7914791752617254,0.013678010471204188,-0.7485462730579611
Democratic,Michigan,Elissa Slotkin,DB8-Y09PB3X,2024-11-04,323,18,-0.1908287935074964,-0.047840835691393954,2024-11-11,21338,323.0,0.015137313712625363,-0.19454057737052374,0.0008435654700534258,-0.06129696347070258,2.9640906942353857,0.01598087918267879,-0.08052035305905421
Republican,Michigan,Mike Rogers,DB7yxGCO8hz,2024-11-04,129,5,0.10431067808135217,-0.17737146568510123,2024-11-11,1561,129.0,0.08263933376041,-0.3827130136251726,0.0032030749519538757,-0.24058639871448204,1.4639720036317463,0.08584240871236387,-0.049905863925337114
Republican,Ohio,Bernie Moreno,DB7xwlptnyD,2024-11-04,568,28,0.7945484992196691,-1.1709478808106168,2024-11-11,9181,568.0,0.06186689903060669,-0.2281878423724874,0.0030497767127763862,-1.3573760602691833,1.7457532825092799,0.06491667574338307,-0.21560857731851177
