keycode,label,topic
DB70-iANlN9,5,Candidate Criticism
DB72RrUghhK,0,Immigration
DB7HAX3hl92,0,Immigration
DB7L3ukOyFT,3,Candidate Strategies(mix)
DB7UlN4pOta,6,Abortion
DB7UqOLvD2h,3,Candidate Strategies(mix)
DB7X-wSycqh,2, Candidate Narratives
DB7xwlptnyD,3,Candidate Strategies(mix)
DB7yxGCO8hz,3,Candidate Strategies(mix)
DB8-Y09PB3X,2, Candidate Narratives
DB86UQJOsxp,2, Candidate Narratives
DB88NN9O9Q_,0,Immigration
DB8E9zOsD1P,0,Immigration
DB8EGA8vc8i,3,Candidate Strategies(mix)
DB8EUh_t5Ei,0,Immigration
DB8oo-PJINy,3,Candidate Strategies(mix)
DB913i7v3EW,2, Candidate Narratives
DB9JS3JRgCx,0,Immigration
DB9LJ1OAepL,6,Abortion
DB9Mmetuw1O,2, Candidate Narratives
DB9Od7vi3z8,1,Voting
DB9a9iByB7F,5,Candidate Criticism
DB9d61BCDJa,2, Candidate Narratives
DB9eXO_tcGT,1,Voting
DB9h1hKuaZX,1,Voting
DB9oaBwS_lF,5,Candidate Criticism
DB9p1SVyuaQ,1,Voting
DB9u5zrSLdT,2, Candidate Narratives
DBA7jAtqYY5,0,Immigration
DBAALCVJAv-,4,Economic
DBBwlPguq-r,0,Immigration
DBC42OANkzx,2, Candidate Narratives
DBCE_Ocp9mF,1,Voting
DBCGlzhOboA,3,Candidate Strategies(mix)
DBCKLbDt1AV,3,Candidate Strategies(mix)
DBCQpzPPMeT,2, Candidate Narratives
DBCWDDTv_-s,1,Voting
DBCdXDjyLjA,5,Candidate Criticism
DBERoJDN1Wy,6,Abortion
DBEhq2nvMBk,5,Candidate Criticism
DBElUFphxFy,5,Candidate Criticism
DBEps9avGxL,5,Candidate Criticism
DBFAKnVtZoY,0,Immigration
DBFQSkkPKkJ,4,Economic
DBFSFrwNX9O,2, Candidate Narratives
DBFbsutAUtK,3,Candidate Strategies(mix)
DBFlU3cNcmG,2, Candidate Narratives
DBH0uyshTDS,5,Candidate Criticism
DBH2mAUv2ik,4,Economic
DBH6hMpv_y8,4,Economic
DBH6m4uPqh8,4,Economic
DBH_R6pAjNT,0,Immigration
DBH_cTrtPH3,4,Economic
DBHb0n9C7Rm,1,Voting
DBHc_NqIX7r,1,Voting
